Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31
1,4,33,8,19,27,17,34,63,6,23,23,6,23,9,35,6,12,7,12,6,14,34,31,4,32,29,19,35,52,54,55,25,4
1,5,33,8,19,27,17,42,63,6,23,23,3,5,4,24,6,12,5,12,6,14,34,31,4,31,29,19,33,37,44,55,25,4
1,6,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,7,12,6,14,34,31,4,32,29,19,33,14,44,55,25,4
1,7,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,7,12,6,14,34,31,4,32,29,19,33,14,44,55,25,4
1,8,33,8,19,27,17,42,0,6,23,23,2,5,4,24,6,6,7,12,6,14,34,31,4,32,29,19,33,14,44,55,25,4
1,9,33,8,19,27,15,42,0,6,23,23,2,5,4,24,6,6,7,12,6,14,34,32,4,32,29,19,33,14,44,55,25,4
1,10,33,8,19,27,15,42,0,6,23,23,2,5,4,24,6,6,7,12,6,14,34,32,4,31,29,19,33,14,44,55,25,4
1,11,33,8,19,27,17,42,0,6,23,23,2,5,4,24,6,6,7,12,6,14,34,31,4,31,29,19,33,14,44,55,25,4
1,12,33,8,19,27,17,42,0,6,23,23,2,5,4,24,6,6,7,12,6,14,34,31,4,31,29,19,33,14,44,55,25,4
1,13,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,31,4,32,29,19,33,15,44,55,25,4
1,14,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,31,4,31,29,19,33,15,44,55,25,4
1,15,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,31,4,31,29,19,33,15,44,55,25,4
1,16,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,31,4,32,29,19,33,15,44,55,25,4
1,17,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,31,4,32,29,19,33,15,44,55,25,4
1,18,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,31,4,32,29,19,33,15,44,55,25,4
1,19,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,31,4,31,29,19,35,15,44,55,26,4
1,20,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,31,4,32,29,19,35,15,44,55,26,4
1,21,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,31,4,32,29,19,35,15,44,55,26,4
1,22,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,32,4,31,29,19,35,15,44,55,27,4
1,23,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,32,4,32,29,19,35,15,44,55,27,4
1,24,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,32,4,31,29,19,35,15,44,55,26,4
1,25,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,32,4,31,29,19,35,15,44,55,26,4
1,26,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,32,4,32,29,19,35,15,44,55,26,4
1,27,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,32,4,32,29,19,35,15,44,55,26,4
1,28,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,32,4,31,29,19,35,15,44,55,26,4
1,29,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,32,4,32,29,19,35,15,44,55,26,4
1,30,33,8,19,27,17,42,0,6,23,23,3,5,4,24,6,6,5,12,6,14,34,32,4,32,29,19,35,15,44,55,26,4
1,31,33,8,19,27,17,42,0,6,23,23,2,5,4,24,6,6,5,12,6,14,34,32,4,32,29,19,35,15,44,55,26,4
1,32,33,8,19,27,17,42,0,6,23,23,2,5,4,24,6,6,5,12,6,14,34,32,4,31,29,19,35,15,44,55,26,4
1,33,33,8,19,27,17,42,0,6,23,23,2,5,4,24,6,6,5,12,6,14,34,32,4,32,29,19,35,15,44,55,26,4
1,34,33,8,19,27,17,42,0,6,23,23,2,5,4,24,6,6,5,12,6,14,34,32,4,31,29,19,35,15,44,55,26,4
1,35,33,8,19,27,17,42,0,6,23,23,2,5,4,24,6,6,5,12,6,14,34,32,4,31,29,19,35,15,44,55,26,4
1,36,33,8,19,27,17,42,0,6,23,23,2,5,4,24,6,6,5,12,6,14,34,32,4,32,29,19,35,15,44,55,26,4
1,37,33,8,19,27,17,42,0,6,23,23,2,5,4,24,6,6,5,12,6,14,34,32,4,32,29,19,35,15,44,55,26,4
1,38,33,8,19,27,17,42,0,6,23,23,2,5,4,24,6,6,5,12,6,14,34,32,4,32,29,19,35,14,44,55,26,4
1,39,33,8,19,27,17,42,0,6,23,23,2,5,4,24,6,6,5,12,6,14,34,32,4,32,29,19,35,14,44,55,26,4
2,0,28,49,19,1,35,35,45,7,24,23,2,5,27,43,6,7,27,34,43,14,33,33,30,8,24,40,39,0,54,37,19,4
2,1,25,8,31,1,6,8,2,22,24,23,3,5,27,3,6,7,27,12,43,14,33,1,9,8,39,24,34,0,30,37,11,4
2,2,25,8,31,1,20,8,2,22,24,23,2,5,27,20,6,7,27,12,43,14,33,1,9,8,24,19,17,0,2,37,11,4
2,3,25,8,31,1,20,8,2,22,20,23,6,5,33,20,6,3,43,12,47,14,33,1,9,8,24,19,17,0,2,36,11,4
2,4,25,8,31,1,36,8,1,22,20,23,2,5,33,20,6,3,43,12,47,14,33,54,9,8,24,19,1,0,2,36,11,4
2,5,25,8,31,1,36,8,1,22,20,61,2,5,33,20,44,3,43,12,5,14,33,54,9,8,24,19,1,0,2,37,11,30
2,6,25,8,30,1,36,8,2,22,20,61,3,5,32,21,44,3,43,12,5,14,33,31,9,8,24,19,1,0,2,39,11,30
2,7,25,8,30,1,36,8,2,22,20,61,6,5,32,21,44,3,43,12,5,14,33,31,9,5,24,19,1,0,2,39,11,30
2,8,25,8,30,1,36,8,2,22,20,22,6,4,32,21,44,3,43,12,5,14,33,31,9,5,24,19,1,2,2,39,11,30
2,9,27,8,32,1,36,8,1,22,20,22,6,4,32,21,44,3,43,12,5,14,33,32,9,5,24,19,1,2,2,39,11,30
2,10,27,8,32,1,36,8,1,22,20,22,3,4,32,21,44,3,43,12,5,14,33,32,9,6,24,19,1,2,2,39,11,30
2,11,27,8,32,1,36,8,1,22,20,22,2,2,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,12,27,8,32,1,36,8,1,22,20,22,3,2,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,13,27,8,32,1,36,8,1,22,20,22,2,2,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,14,27,8,32,1,36,8,1,22,20,22,6,2,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,15,27,8,32,1,36,8,1,22,20,22,6,4,32,20,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,16,27,8,32,1,36,8,1,22,20,22,3,4,32,20,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,17,27,8,32,1,36,8,2,22,20,22,6,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,18,27,8,32,1,36,8,2,22,20,22,6,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,19,27,8,32,1,36,8,2,22,20,22,6,4,32,20,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,20,27,8,32,1,36,8,1,22,20,22,3,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,21,27,8,32,1,36,8,1,22,20,22,6,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,22,27,8,32,1,36,8,1,22,20,22,6,4,32,21,24,3,43,12,5,14,33,31,9,6,24,19,1,3,4,39,11,30
2,23,27,8,30,1,36,8,2,22,20,22,3,4,32,21,24,3,43,12,5,14,33,31,9,6,24,19,1,3,4,39,11,30
2,24,27,8,30,1,36,8,1,22,20,22,6,2,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,2,4,39,11,29
2,25,27,8,32,1,36,8,1,22,20,22,6,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,26,27,8,32,1,36,8,1,22,20,22,3,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,27,27,8,32,1,36,8,1,22,20,22,2,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,28,27,8,32,1,36,8,1,22,20,22,3,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,29,27,8,32,1,36,8,1,22,20,22,2,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,30,27,8,32,1,36,8,1,22,20,22,2,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,4,39,11,30
2,31,27,8,32,1,36,8,1,22,20,22,6,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,2,39,11,30
2,32,27,8,32,1,36,8,1,22,20,22,3,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,2,39,11,30
2,33,27,8,32,1,36,8,1,22,20,22,6,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,2,39,11,30
2,34,27,8,32,1,36,8,1,22,20,22,2,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,2,39,11,30
2,35,27,8,32,1,36,8,2,22,20,22,6,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,2,39,11,30
2,36,27,8,32,1,36,8,2,22,20,22,6,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,2,39,11,30
2,37,27,8,32,1,36,8,2,22,20,22,2,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,2,39,11,30
2,38,27,8,32,1,36,8,2,22,20,22,3,4,32,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,2,39,11,30
2,39,27,8,31,1,36,8,2,22,20,22,3,4,33,21,24,3,43,12,5,14,33,32,9,6,24,19,1,3,2,39,11,30
3,0,7,25,5,3,35,35,35,3,29,27,16,4,22,43,12,4,30,16,19,8,33,24,7,7,29,39,31,6,54,23,25,1
3,1,46,25,5,3,3,35,35,3,29,27,16,7,22,43,12,9,30,16,19,8,33,24,7,7,15,39,2,30,54,7,25,1
3,2,46,5,5,23,3,35,35,3,29,27,31,7,39,43,12,9,30,16,0,8,33,17,56,7,15,39,2,30,5,7,25,1
3,3,46,5,5,23,3,35,35,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,39,2,30,5,7,25,1
3,4,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,44,7,25,1
3,5,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,51,7,8,14
3,6,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,51,7,19,14
3,7,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,51,7,19,14
3,8,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,51,7,19,14
3,9,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,51,7,19,14
3,10,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,51,7,19,14
3,11,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,51,7,19,14
3,12,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,51,7,19,14
3,13,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,51,7,19,14
3,14,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,51,7,19,14
3,15,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,51,7,19,14
3,16,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,51,7,19,14
3,17,46,46,5,23,3,35,63,3,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,7,15,59,2,30,51,7,19,14
3,18,46,46,5,23,3,35,63,4,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,6,15,59,2,30,51,7,19,14
3,19,46,46,5,23,3,35,63,4,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,6,15,59,2,30,51,7,19,14
3,20,46,46,5,23,3,35,63,4,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,6,15,59,2,30,51,7,19,14
3,21,46,46,5,23,3,35,63,4,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,6,15,59,2,30,51,7,19,14
3,22,46,46,5,23,3,35,63,4,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,6,15,59,2,30,51,7,19,14
3,23,46,46,5,23,3,35,63,4,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,6,15,59,2,30,51,7,19,14
3,24,46,46,5,23,3,35,63,4,29,27,31,7,39,43,6,9,10,19,0,1,33,17,56,6,15,59,2,30,51,7,19,14
